LocomotionID,PrimateID,LMTypeCd,Checked,PctOfTime,CitationID,Comment,OrigIDPhysical,AuthorAddStamp,AuthorEditStamp,AuthorReviewStamp,AuthorIsDupeStamp,AdminReviewStamp
101,38,LEAP,-1,,881,,4510,,,6/12/2009,,
102,38,QUAD,-1,,871,,4510,,,6/12/2009,,
103,38,SUSP,-1,,871,,4510,,,6/12/2009,,
104,38,CLIM,-1,,871,,4511,,,6/12/2009,,
105,38,LEAP,-1,,871,,4511,,,6/12/2009,,
106,39,CLIM,-1,,951,,4501,,,6/13/2009,,
107,39,LEAP,-1,,951,,4501,,,6/13/2009,,
108,39,QUAD,-1,,951,,4501,,,6/13/2009,,
109,39,SUSP,-1,7.3,951,Suspensory postures were used 7.3 (±3.1)% of total feeding time in Nosy Mangabe.,4501,,,6/13/2009,,
110,40,CLIM,-1,5,991,,2314,,6/4/2009,6/4/2009,,
111,40,LEAP,-1,44,991,"Most leaping is horizontal, not vertical leaping",2314,,6/4/2009,6/4/2009,,
112,40,QUAD,-1,46,991,,2314,,6/4/2009,6/4/2009,,
113,40,SUSP,-1,3,991,Most suspension occurs during feeding or when waking and stretching,2314,,6/4/2009,6/4/2009,,
114,40,VERT,-1,1,991,,2314,,6/4/2009,6/4/2009,,
115,41,VERT,-1,,1021,,3961,,,5/19/2009,,
116,42,VERT,-1,,1027,,3957,,,,,
117,43,VERT,-1,,1033,,4108,,,5/19/2009,,
119,44,QUAD,-1,,1048,,2699,,,,,
120,44,VERT,-1,,1048,,2699,,,,,
121,45,VERT,-1,,1069,,2795,,,5/12/2009,,
122,46,VERT,-1,,23833,,2791,,8/11/2016,5/12/2009,,
123,47,VERT,-1,,23963,,3965,,6/13/2012,5/25/2009,,
124,48,VERT,-1,,23925,,2787,,6/4/2012,5/11/2009,,
125,51,VERT,-1,,1095,,802,,6/25/2009,6/25/2009,,
126,52,BIPE,-1,,1124,when on the ground,2402,,,5/5/2009,,
127,52,LEAP,-1,,1122,Vertical clinging and leaping (VCL) is the primary form of locomotion.,2402,,5/5/2009,5/5/2009,,
128,52,QUAD,-1,,1124,when descending a substrate,2402,,,5/5/2009,,
129,52,VERT,-1,,1122,see above.,2402,,5/5/2009,5/5/2009,,
130,54,BIPE,-1,1,1150,Less Than 1%,883,,5/30/2009,5/30/2009,,
131,54,LEAP,-1,,1150,,883,,5/30/2009,5/30/2009,,
132,54,QUAD,-1,,1150,,883,,5/30/2009,5/30/2009,,
133,54,SUSP,-1,,1150,,883,,5/30/2009,5/30/2009,,
134,54,VERT,-1,,1150,,883,,5/30/2009,5/30/2009,,
135,55,CLIM,-1,,1196,"Occasional (within trees, especially in feeing contexts)",4484,,5/31/2009,5/31/2009,,
136,55,LEAP,-1,,1196,Occasional (within canopy),4484,,,5/31/2009,,
137,55,SUSP,-1,,1196,Occasional (when feeding and playing),4484,,,5/31/2009,,
138,55,VERT,-1,,1196,"The main mode of locomotion for travel, as with other indriids  ",4484,,5/31/2009,5/31/2009,,
139,56,SUSP,-1,,1212,,1623,,6/24/2009,6/24/2009,,
140,56,VERT,-1,,1212,,1623,,6/24/2009,6/24/2009,,
141,57,BIPE,-1,,1235,"Infrequently, used to move between other forest patches",4488,,,5/31/2009,,
142,57,CLIM,-1,,1235,Occasional (within trees),4488,,9/1/2016,5/31/2009,,
143,57,LEAP,-1,,1235,Occasional (within Canopy),4488,,9/1/2016,5/31/2009,,
144,57,SUSP,-1,,1235,Occasional (when feeding),4488,,9/1/2016,5/31/2009,,
