MonkeyNumberGroves,NumberIn96Edition,ReferenceFullSpecies,SuppressTaxa,SpeciesInNewGroves,sp_nov,ONly in IUCN,Superfamily,Suborder,Ifraorder,Family,Subfamily,Tribe,Genus,Subgenus,Species-group,Species,Subspecies,Describer,YearDescribed,LatinName
1,761,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,medius,medius,,É. Geoffroy,1812,Cheirogaleus medius
2,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,medius,adipicaudatus,,Grandidier,1868,Cheirogaleus adipicaudatus
3,760,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,major,,É. Geoffroy,1812,Cheirogaleus major
4,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,crossleyi,,Grandidier,1870,Cheirogaleus crossleyi 
5,,0,0,1,0,0,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,ravus,,Groves,2000,Cheirogaleus ravus
6,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,minusculus,,Groves,2000,Cheirogaleus minusculus
7,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Cheirogaleus,,major,sibreei,,Forsyth Major,1896,Cheirogaleus sibreei 
8,763,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,murinus,,J. Miller,1777,Microcebus murinus 
9,764,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,rufus,,Lesson,1840,Microcebus rufus 
10,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,ravelobensis,,Zimmermann et al,1998,Microcebus ravelobensis 
11,989,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Microcebus,,,myoxinus,,Peters,1852,Microcebus myoxinus
12,762,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Mirza,,,coquereli,,Grandidier,1867,Mirza coquereli
13,759,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Allocebus,,,trichotis,,Günther,1875,Allocebus trichotis 
14,765,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Phaner,,,furcifer,,de Blainville,1839,Phaner furcifer 
15,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Phaner,,,pallescens,,Groves & Tattersall,1991,Phaner pallescens
16,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Phaner,,,parienti,,Groves & Tattersall,1991,Phaner parienti 
17,,0,0,1,0,1,Cheirogaleoidea,Prosimii/Strepsirhini,Lemuriformes,Cheirogaleidae,Cheirogaleinae,,Phaner,,,electromontis,,Groves & Tattersall,1991,Phaner electromontis 
18,771,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Lemur,,,catta,,Linnaeus,1775,Lemur catta
19,768,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,macaco,,Linnaeus,1766,Eulemur macaco
20,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,flavifrons,,Gray,1867,Eulemur flavifrons
21,767,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,fulvus,,É. Geoffroy,1812,Eulemur fulvus
22,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,sanfordi,,Archbold,1932,Eulemur sanfordi
23,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,albifrons,,É. Geoffroy,1796,Eulemur albifrons
24,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,rufus,,Audebert,1799,Eulemur rufus
25,,0,0,1,0,0,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,albocollaris,,Grandidier & Milne-Edwards,1890,Eulemur albocollaris
26,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,collaris,,É. Geoffroy,1812,Eulemur collaris
27,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,cinereiceps,,Rumpler,1975,Eulemur cinereiceps
28,769,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,mongoz,,Linnaeus,1766,Eulemur mongoz 
29,766,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,coronatus,,Gray,1842,Eulemur coronatus 
30,770,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Eulemur,,,rubriventer,,I. Geoffroy,1850,Eulemur rubriventer 
31,774,897,0,0,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Hapalemur,,,griseus,griseus,Link,1795,Hapalemur griseus griseus
32,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Hapalemur,,,meridionalis,,Warter et al.,1987,Hapalemur meridionalis
33,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Hapalemur,,,occidentalis,,Rumpler,1975,Hapalemur occidentalis
34,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Hapalemur,,,alaotrensis,,Rumpler,1975,Hapalemur alaotrensis
35,773,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Hapalemur,,,aureus,,Meier et al.,1987,Hapalemur aureus 
36,775,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Prolemur,,,simus,,Gray,1871,Prolemur simus 
37,772,887,0,0,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Varecia,,,variegata,variegata,Kerr,1792,Varecia variegata variegata
38,,887,0,0,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Varecia,,,variegata,editorum,O. Hill,1953,Varecia variegata editorum
39,,887,0,0,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Varecia,,,variegata,subcincta,A. Smith,1833,Varecia variegata subcincta
40,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lemuridae,,,Varecia,,,rubra,,É. Geoffroy,1812,Varecia rubra 
41,780,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lepilemuridae,,,Lepilemur,,,mustelinus,,I. Geoffroy,1865,Lepilemur mustelinus
42,779,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lepilemuridae,,,Lepilemur,,,microdon,,Forsyth Major,1894,Lepilemur microdon 
43,778,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lepilemuridae,,,Lepilemur,,,leucopus,,Forsyth Major,1894,Lepilemur leucopus 
44,781,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lepilemuridae,,,Lepilemur,,,ruficaudatus,,Grandidier,1867,Lepilemur ruficaudatus 
45,777,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lepilemuridae,,,Lepilemur,,,edwardsi,,Forsyth Major,1896,Lepilemur edwardsi 
46,776,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lepilemuridae,,,Lepilemur,,,dorsalis,,Gray,1871,Lepilemur dorsalis
47,782,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lepilemuridae,,,Lepilemur,,,septentrionalis,,Rumpler & Albignac,1975,Lepilemur septentrionalis
48,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Lepilemuridae,,,Lepilemur,,,ankaranensis,,Rumpler & Albignac,1975,Lepilemur ankaranensis 
49,784,901,0,0,0,0,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Indri,,,indri,indri,Gmelin,1788,Indri indri indri
50,,901,0,0,0,0,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Indri,,,indri,variegatus,Gray,1872,Indri indri variegatus
51,783,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Avahi,,,laniger,,Gmelin,1788,Avahi laniger
52,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Avahi,,,occidentalis,,Lorenz,1898,Avahi occidentalis
53,785,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,diadema,diadema,,Bennett,1832,Propithecus diadema 
54,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,diadema,candidus,,Grandidier,1871,Propithecus candidus 
55,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,diadema,edwardsi,,Grandidier,1871,Propithecus edwardsi 
56,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,diadema,perrieri,,Lavauden,1931,Propithecus perrieri 
57,786,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,diadema,tattersalli,,Simons,1988,Propithecus tattersalli 
58,787,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,verreauxi,verreauxi,,A. Grandidier,1867,Propithecus verreauxi 
59,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,verreauxi,coquereli,,Grandidier,1867,Propithecus coquereli 
60,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,verreauxi,deckenii,,Peters,1870,Propithecus deckenii
61,,0,0,1,0,1,Lemuroidea,Prosimii/Strepsirhini,Lemuriformes,Indriidae,,,Propithecus,,verreauxi,coronatus,,Milne-Edwards,1871,Propithecus coronatus 
68,788,0,0,1,0,1,,Prosimii/Strepsirhini,Chiromyiformes,Daubentoniidae,,,Daubentonia,,,madagascariensis,,Gmelin,1788,Daubentonia madagascariensis
71,743,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Perodicticinae,,Arctocebus,,,calabarensis,,J. A. Smith,1863,Arctocebus calabarensis 
72,742,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Perodicticinae,,Arctocebus,,,aureus,,de Winton,1902,Arctocebus aureus 
73,747,879,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Perodicticinae,,Perodicticus,,,potto,potto,Müller,1766,Perodicticus potto potto
74,,879,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Perodicticinae,,Perodicticus,,,potto,edwardsi,Bouvier,1879,Perodicticus potto edwardsi
75,,879,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Perodicticinae,,Perodicticus,,,potto,ibeanus,Thomas,1910,Perodicticus potto ibeanus
76,,0,0,1,0,0,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Perodicticinae,,Pseudopotto,,,martini,,Schwartz,1996,Pseudopotto martini
77,744,877,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Loris,,,tardigradus,tardigradus,Linnaeus,1758,Loris tardigradus tardigradus
78,,875,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Loris,,,lydekkerianus,lydekkerianus,Cabrera,1908,Loris lydekkerianus lydekkerianus
79,,875,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Loris,,,lydekkerianus,malabaricus,Wroughton,1917,Loris lydekkerianus malabaricus
80,,875,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Loris,,,lydekkerianus,grandis,Hill & Phillips,1932,Loris lydekkerianus grandis
81,,877,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Loris,,,tardigradus,nycticeboides,Hill,1942,Loris tardigradus nycticeboides
82,745,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Nycticebus,,,coucang,,Boddaert,1785,Nycticebus coucang 
83,,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Nycticebus,,,menagensis,,Trouessart,1897,Nycticebus menagensis
84,,0,1,1,0,0,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Nycticebus,,,javanicus,,É. Geoffroy,1812,Nycticebus javanicus 
85,,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Nycticebus,,,bengalensis,,Lacépède,1800,Nycticebus bengalensis
86,746,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Lorisidae,Lorisinae,,Nycticebus,,,pygmaeus,,Bonhote,1907,Nycticebus pygmaeus 
87,757,870,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Otolemur,,,crassicaudatus,crassicaudatus,É. Geoffroy,1812,Otolemur crassicaudatus crassicaudatus
88,,870,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Otolemur,,,crassicaudatus,kirkii,Gray,1863,Otolemur crassicaudatus kirkii
89,,869,0,0,0,0,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Otolemur,,,monteiri,monteiri,Bartlett,1863,Otolemur monteiri monteiri
90,,869,0,0,0,0,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Otolemur,,,monteiri,argentatus,Lönnberg,1919,Otolemur monteiri argentatus
91,758,868,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Otolemur,,,garnettii,garnettii,Ogilby,1838,Otolemur garnettii garnettii
92,,868,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Otolemur,,,garnettii,panganiensis,Matschie,1905,Otolemur garnettii panganiensis
93,,868,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Otolemur,,,garnettii,lasiotis,Peters,1876,Otolemur garnettii lasiotis
94,,868,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Otolemur,,,garnettii,kikuyuensis,Lönnberg,1912,Otolemur garnettii kikuyuensis
95,748,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Euoticus,,,elegantulus,,Leconte,1857,Euoticus elegantulus 
96,749,863,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Euoticus,,,pallidus,pallidus,Leconte,1863,Euoticus pallidus pallidus
97,,863,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Euoticus,,,pallidus,talboti,Dollman,1910,Euoticus pallidus talboti
98,754,867,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galago,,senegalensis,senegalensis,senegalensis,É. Geoffroy,1796,Galago senegalensis senegalensis
99,,867,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galago,,senegalensis,senegalensis,braccatus,Elliot,1907,Galago senegalensis braccatus
100,,867,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galago,,senegalensis,senegalensis,sotikae,Hollister,1920,Galago senegalensis sotikae
101,,867,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galago,,senegalensis,senegalensis,dunni,Dollman,1910,Galago senegalensis dunni
102,753,872,1,0,0,0,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galago,,senegalensis,moholi,moholi,Smith,1836,Galago moholi moholi
103,751,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galago,,senegalensis,gallarum,,Thomas,1901,Galago gallarum 
104,752,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galago,,matschiei,matschiei,,Lorenz,1917,Galago matschiei 
105,750,865,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Sciurocheirus,,alleni,alleni,alleni,Waterhouse,1838,Sciurocheirus alleni alleni
106,,865,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Sciurocheirus,,alleni,alleni,cameronensis,Peters,1876,Sciurocheirus alleni cameronensis
107,,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Sciurocheirus,,alleni,gabonensis,,Gray,1863,Sciurocheirus gabonensis
108,756,864,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galagoides,,zanzibaricus,zanzibaricus,zanzibaricus,Matschie,1893,Galagoides zanzibaricus zanzibaricus
109,,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galagoides,,zanzibaricus,cocos,,Heller,1912,Galagoides cocos 
110,,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galagoides,,zanzibaricus,granti,,Thomas & Wroughton,1907,Galagoides granti
112,,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galagoides,,zanzibaricus,nyasae,,Elliot,1907,Galagoides nyasae
113,,864,0,0,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galagoides,,zanzibaricus,zanzibaricus,udzungwensis,Honess,1997,Galagoides zanzibaricus udzungwensis
114,,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galagoides,,orinus,orinus,,Lawrence & Washburn,1936,Galagoides orinus
115,,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galagoides,,orinus,rondoensis,,Honess,1997,Galagoides rondoensis
118,755,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galagoides,,demidoff,demidovii,,Fischer,1806,Galagoides demidovii
119,1000,0,0,1,0,1,Lorisoidea,Prosimii/Strepsirhini,Lorisiformes,Galagidae,,,Galagoides,,demidoff,thomasi,,Elliot,1907,Galagoides thomasi
125,793,883,0,0,0,0,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Tarsius,,syrichta,syrichta,syrichta,Linnaeus,1758,Tarsius syrichta syrichta
126,789,882,0,0,0,1,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Tarsius,,syrichta,bancanus,bancanus,Horsfield,1821,Tarsius bancanus bancanus
127,,882,0,0,0,1,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Tarsius,,syrichta,bancanus,saltator,Elliot,1910,Tarsius bancanus saltator
128,,882,0,0,0,1,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Tarsius,,syrichta,bancanus,borneanus,Elliot,1910,Tarsius bancanus borneanus
129,792,0,0,1,0,1,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Tarsius,,,tarsier (spectrum),,Erxleben,1777,Tarsius tarsier (spectrum)
130,790,0,0,1,0,1,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Tarsius,,,dentatus,,Miller and Hollister,1921,Tarsius dentatus
131,,0,0,1,0,1,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Tarsius,,,pelengensis,,Sody,1949,Tarsius pelengensis 
132,,0,0,1,0,1,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Tarsius,,,sangirensis,,Meyer,1897,Tarsius sangirensis 
134,791,0,0,1,0,1,Tarsioidea,Haplorrhini,Tarsiiformes,Tarsiidae,,,Tarsius,,,pumilus,,Miller and Hollister,1921,Tarsius pumilus
139,800,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Callithrix,,,jacchus,,Linnaeus,1758,Callithrix jacchus
140,804,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Callithrix,,,penicillata,,É. Geoffroy,1812,Callithrix penicillata 
141,801,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Callithrix,,,kuhlii,,Coimbra-Filho,1985,Callithrix kuhlii 
142,798,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Callithrix,,,geoffroyi,,Humboldt,1812,Callithrix geoffroyi 
143,797,0,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Callithrix,,,flaviceps,,Thomas,1903,Callithrix flaviceps 
144,796,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Callithrix,,,aurita,,É. Geoffroy,1812,Callithrix aurita 
145,795,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,argentatus,,Linnaeus,1766,Mico argentatus
146,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,leucippe,,Thomas,1922,Mico leucippe
148,803,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,nigriceps,,Ferrari & Lopes,1992,Mico nigriceps
149,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,marcai,,Alperin,1993,Mico marcai
150,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,melanurus,,É. Geoffroy,1812,Mico melanurus
151,799,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,humeralifer,,É. Geoffroy,1812,Mico humeralifer
152,802,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,mauesi,,Mittermeier et al.,1992,Mico mauesi
153,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Mico,,,chrysoleucus,,Wagner,1842,Mico chrysoleucus
154,,0,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Callithrix,,,intermedius,,Hershkovitz,1977,Callithrix intermedius
155,,0,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Callibella,,,humilis,,"M. van Roosmalen, et al.",1998,Callibella humilis
156,805,818,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Cebuella,,,pygmaea,pygmaea,Spix,1823,Cebuella pygmaea pygmaea
157,,818,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Cebuella,,,pygmaea,niveiventris,Lönnberg,1940,Cebuella pygmaea niveiventris
158,821,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Cebidae,Callitrichinae,,Leontopithecus,,,rosalia,,Linnaeus,1766,Leontopithecus rosalia 
159,819,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontopithecus,,,chrysomelas,,Kuhl,1820,Leontopithecus chrysomelas 
160,820,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontopithecus,,,chrysopygus,,Mikan,1823,Leontopithecus chrysopygus
161,818,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontopithecus,,,caissara,,Lorini & Persson,1990,Leontopithecus caissara 
162,813,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Saguinus,,midas,midas,,Linnaeus,1758,Saguinus midas
163,,0,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Saguinus,,midas,niger,,É. Geoffroy,1803,Saguinus niger 
164,815,803,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Saguinus,,nigricollis,nigricollis,nigricollis,Spix,1823,Saguinus nigricollis nigricollis
165,,803,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Saguinus,,nigricollis,nigricollis,hernandezi,Hershkovitz,1982,Saguinus nigricollis hernandezi
166,,803,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Saguinus,,nigricollis,nigricollis,graellsi,Jiménez de la Espada,1870,Saguinus nigricollis graellsi
167,807,798,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Saguinus,,nigricollis,fuscicollis,fuscicollis,Spix,1823,Saguinus fuscicollis fuscicollis
168,,798,0,0,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Saguinus,,nigricollis,fuscicollis,nigrifrons,I. Geoffroy,1850,Saguinus fuscicollis nigrifrons
