MonkeyNumberGroves,NumberIn96Edition,ReferenceFullSpecies,SuppressTaxa,SpeciesInNewGroves,sp_nov,ONly in IUCN,Superfamily,Suborder,Ifraorder,Family,Subfamily,Tribe,Genus,Subgenus,Species-group,Species,Subspecies,Describer,YearDescribed,LatinName
1320,,,1,0,0,0,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Cercopithecinae,,Cercopithecus,,,albogularis,moloneyi,Sclater,1893,Cercopithecus albogularis moloneyi
1321,,1312,1,0,0,0,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Cercopithecinae,,Cercopithecus,,,albogularis,monoides,Geoffrey,1841,Cercopithecus albogularis monoides
1322,,,0,1,0,0,Cercopithecoidea,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Cercopithecinae,,Cercopithecus,,,mitis,revised HMW,Wolf,1822,Cercopithecus mitis revised HMW
1323,,,0,1,0,0,Cercopithecoid,Anthropoidea/Haplorrhini,Catarrhini,Cercopithecidae,Colobinae,,Presbytis,,,melalophos,,Raffles,1822,Presbytis melalophos
1346,,,1,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Lentocebus,,,nigricollis,,Spix,1823,Lentocebus nigricollis
1347,,1364,0,0,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,nigricollis,hernandezi,Hershkovitz,1982,Leontocebus nigricollis hernandezi
1348,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,fuscus,,Lesson,1840,Leontocebus fuscus
1349,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,tripartitus,,Milne-Edwards,1878,Leontocebus tripartitus
1350,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,lagonotus,,Jiménez de la Espada,1870,Leontocebus lagonotus
1351,,,0,1,0,1,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,leucogenys,,Gray,1866,Leontocebus leucogenys
1352,,,0,1,0,0,Ceboidea,Anthropoidea/Haplorrhini,Platyrrhini,Callitrichidae,Callitrichinae,,Leontocebus,,,illigeri,,Pucheran,1845,Leontocebus illigeri
